feature_name,feature_group,feature_subtype,source_columns,formula_or_method,business_meaning,analytical_rationale,creation_status,used_by_machine_learning,used_by_inference,used_by_optimization,used_by_grey_models,requires_training_fit,validation_rule,leakage_risk,implementation_module,priority,analyst_decision,notes
bedrooms_per_household,Deterministic,Ratio,total_bedrooms | households,total_bedrooms / households,Average bedroom availability per household.,"Separates observational-unit scale from density, composition, or resource availability.",AUTOMATIC CANDIDATE,True,True,True,True,False,Denominator must be non-zero; preserve missing values.,LOW,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,No zero denominators detected in training data.
bedrooms_per_person,Deterministic,Ratio,total_bedrooms | population,total_bedrooms / population,Bedroom availability per person.,"Separates observational-unit scale from density, composition, or resource availability.",AUTOMATIC CANDIDATE,True,True,True,True,False,Denominator must be non-zero; preserve missing values.,LOW,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,No zero denominators detected in training data.
bedrooms_per_room,Deterministic,Ratio,total_bedrooms | total_rooms,total_bedrooms / total_rooms,Bedroom share within the housing stock.,"Separates observational-unit scale from density, composition, or resource availability.",AUTOMATIC CANDIDATE,True,True,True,True,False,Denominator must be non-zero; preserve missing values.,LOW,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,No zero denominators detected in training data.
population_per_household,Deterministic,Ratio,population | households,population / households,Average household occupancy.,"Separates observational-unit scale from density, composition, or resource availability.",AUTOMATIC CANDIDATE,True,True,True,True,False,Denominator must be non-zero; preserve missing values.,LOW,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,No zero denominators detected in training data.
rooms_per_household,Deterministic,Ratio,total_rooms | households,total_rooms / households,Average housing-space availability per household.,"Separates observational-unit scale from density, composition, or resource availability.",AUTOMATIC CANDIDATE,True,True,True,True,False,Denominator must be non-zero; preserve missing values.,LOW,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,No zero denominators detected in training data.
rooms_per_person,Deterministic,Ratio,total_rooms | population,total_rooms / population,Housing-space availability per person.,"Separates observational-unit scale from density, composition, or resource availability.",AUTOMATIC CANDIDATE,True,True,True,True,False,Denominator must be non-zero; preserve missing values.,LOW,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,No zero denominators detected in training data.
coastal_access_group,Domain,Category consolidation,ocean_proximity,Business-approved grouping of proximity categories,Simplified market-access or coastal-amenity segment.,May improve interpretability when individual categories are sparse or operational decisions use broader segments.,OPTIONAL DOMAIN CANDIDATE,True,True,False,False,False,Grouping must be approved before use and applied identically to every dataset split.,LOW,domain_features.py,LOW,REQUIRES DOMAIN APPROVAL,Do not collapse categories only to improve model fit.
distance_to_business_centre,Domain,External geographic feature,longitude | latitude | external_cbd_coordinates,Geodesic distance to a defined central business centre,Accessibility to major employment and commercial centres.,Coordinates alone may not express accessibility clearly.,EXTERNAL DATA REQUIRED,True,True,True,False,False,External reference location and distance method must be documented.,LOW,domain_features.py,LOW,DEFER UNTIL EXTERNAL DATA AVAILABLE,
local_amenity_index,Domain,External composite index,external_amenity_data,Business-approved composite score,"Local access to schools, services, transport, and amenities.",Addresses possible omitted neighbourhood characteristics.,EXTERNAL DATA REQUIRED,True,True,True,False,False,Index construction and weighting must be documented.,MEDIUM,domain_features.py,LOW,DEFER UNTIL EXTERNAL DATA AVAILABLE,
latitude_squared,Statistical,Polynomial term,latitude,latitude ** 2,Allows the marginal relationship of latitude to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,HIGH,"EVALUATE, DO NOT IMPOSE",
longitude_squared,Statistical,Polynomial term,longitude,longitude ** 2,Allows the marginal relationship of longitude to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,HIGH,"EVALUATE, DO NOT IMPOSE",
households_squared,Statistical,Polynomial term,households,households ** 2,Allows the marginal relationship of households to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
housing_median_age_squared,Statistical,Polynomial term,housing_median_age,housing_median_age ** 2,Allows the marginal relationship of housing_median_age to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
income_age_interaction,Statistical,Interaction,median_income | housing_median_age,median_income * housing_median_age,Tests whether the relationship between income and the response varies with housing age.,Proposed as an interaction hypothesis; not justified by marginal effects alone.,HYPOTHESIS CANDIDATE,True,True,False,False,False,Retain only with conceptual justification and incremental empirical value.,LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
income_ocean_proximity_interaction,Statistical,Interaction,median_income | ocean_proximity,median_income × one-hot ocean-proximity indicators,Allows the income relationship to differ across location categories.,Proposed as an interaction hypothesis; not justified by marginal effects alone.,HYPOTHESIS CANDIDATE,True,True,False,False,False,Retain only with conceptual justification and incremental empirical value.,LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
longitude_latitude_interaction,Statistical,Interaction,longitude | latitude,longitude * latitude,Joint geographic effect.,Proposed as an interaction hypothesis; not justified by marginal effects alone.,HYPOTHESIS CANDIDATE,True,True,False,False,False,Retain only with conceptual justification and incremental empirical value.,LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
median_income_squared,Statistical,Polynomial term,median_income,median_income ** 2,Allows the marginal relationship of median_income to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
population_squared,Statistical,Polynomial term,population,population ** 2,Allows the marginal relationship of population to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
total_bedrooms_squared,Statistical,Polynomial term,total_bedrooms,total_bedrooms ** 2,Allows the marginal relationship of total_bedrooms to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
