feature_name,feature_group,feature_subtype,source_columns,formula_or_method,business_meaning,analytical_rationale,creation_status,used_by_machine_learning,used_by_inference,used_by_optimization,used_by_grey_models,requires_training_fit,validation_rule,leakage_risk,implementation_module,priority,analyst_decision,notes
latitude_squared,Statistical,Polynomial term,latitude,latitude ** 2,Allows the marginal relationship of latitude to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,HIGH,"EVALUATE, DO NOT IMPOSE",
longitude_squared,Statistical,Polynomial term,longitude,longitude ** 2,Allows the marginal relationship of longitude to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,HIGH,"EVALUATE, DO NOT IMPOSE",
households_squared,Statistical,Polynomial term,households,households ** 2,Allows the marginal relationship of households to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
housing_median_age_squared,Statistical,Polynomial term,housing_median_age,housing_median_age ** 2,Allows the marginal relationship of housing_median_age to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
income_age_interaction,Statistical,Interaction,median_income | housing_median_age,median_income * housing_median_age,Tests whether the relationship between income and the response varies with housing age.,Proposed as an interaction hypothesis; not justified by marginal effects alone.,HYPOTHESIS CANDIDATE,True,True,False,False,False,Retain only with conceptual justification and incremental empirical value.,LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
income_ocean_proximity_interaction,Statistical,Interaction,median_income | ocean_proximity,median_income × one-hot ocean-proximity indicators,Allows the income relationship to differ across location categories.,Proposed as an interaction hypothesis; not justified by marginal effects alone.,HYPOTHESIS CANDIDATE,True,True,False,False,False,Retain only with conceptual justification and incremental empirical value.,LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
longitude_latitude_interaction,Statistical,Interaction,longitude | latitude,longitude * latitude,Joint geographic effect.,Proposed as an interaction hypothesis; not justified by marginal effects alone.,HYPOTHESIS CANDIDATE,True,True,False,False,False,Retain only with conceptual justification and incremental empirical value.,LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
median_income_squared,Statistical,Polynomial term,median_income,median_income ** 2,Allows the marginal relationship of median_income to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
population_squared,Statistical,Polynomial term,population,population ** 2,Allows the marginal relationship of population to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
total_bedrooms_squared,Statistical,Polynomial term,total_bedrooms,total_bedrooms ** 2,Allows the marginal relationship of total_bedrooms to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
total_rooms_squared,Statistical,Polynomial term,total_rooms,total_rooms ** 2,Allows the marginal relationship of total_rooms to change with its level.,Proposed because the EDA LOWESS screen suggests possible curvature.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,"Retain only when specification, diagnostics, and validation support the nonlinear term.",LOW,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",
