feature_id,feature_name,feature_group,feature_subtype,source_columns,business_meaning,creation_status,used_by_machine_learning,used_by_inference,used_by_optimization,used_by_grey_models,requires_training_fit,implementation_module,priority,analyst_decision,repository_status
FEAT-001,bedrooms_per_household,Deterministic,Ratio,total_bedrooms | households,Average bedroom availability per household.,AUTOMATIC CANDIDATE,True,True,True,True,False,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,PLANNED
FEAT-002,bedrooms_per_person,Deterministic,Ratio,total_bedrooms | population,Bedroom availability per person.,AUTOMATIC CANDIDATE,True,True,True,True,False,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,PLANNED
FEAT-003,bedrooms_per_room,Deterministic,Ratio,total_bedrooms | total_rooms,Bedroom share within the housing stock.,AUTOMATIC CANDIDATE,True,True,True,True,False,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,PLANNED
FEAT-004,population_per_household,Deterministic,Ratio,population | households,Average household occupancy.,AUTOMATIC CANDIDATE,True,True,True,True,False,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,PLANNED
FEAT-005,rooms_per_household,Deterministic,Ratio,total_rooms | households,Average housing-space availability per household.,AUTOMATIC CANDIDATE,True,True,True,True,False,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,PLANNED
FEAT-006,rooms_per_person,Deterministic,Ratio,total_rooms | population,Housing-space availability per person.,AUTOMATIC CANDIDATE,True,True,True,True,False,deterministic_features.py,HIGH,APPROVE FOR IMPLEMENTATION,PLANNED
FEAT-007,coastal_access_group,Domain,Category consolidation,ocean_proximity,Simplified market-access or coastal-amenity segment.,OPTIONAL DOMAIN CANDIDATE,True,True,False,False,False,domain_features.py,LOW,REQUIRES DOMAIN APPROVAL,PLANNED
FEAT-008,distance_to_business_centre,Domain,External geographic feature,longitude | latitude | external_cbd_coordinates,Accessibility to major employment and commercial centres.,EXTERNAL DATA REQUIRED,True,True,True,False,False,domain_features.py,LOW,DEFER UNTIL EXTERNAL DATA AVAILABLE,PLANNED
FEAT-009,local_amenity_index,Domain,External composite index,external_amenity_data,"Local access to schools, services, transport, and amenities.",EXTERNAL DATA REQUIRED,True,True,True,False,False,domain_features.py,LOW,DEFER UNTIL EXTERNAL DATA AVAILABLE,PLANNED
FEAT-010,latitude_squared,Statistical,Polynomial term,latitude,Allows the marginal relationship of latitude to change with its level.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,statistical_features.py,HIGH,"EVALUATE, DO NOT IMPOSE",PLANNED
FEAT-011,longitude_squared,Statistical,Polynomial term,longitude,Allows the marginal relationship of longitude to change with its level.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,statistical_features.py,HIGH,"EVALUATE, DO NOT IMPOSE",PLANNED
FEAT-012,households_squared,Statistical,Polynomial term,households,Allows the marginal relationship of households to change with its level.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",PLANNED
FEAT-013,housing_median_age_squared,Statistical,Polynomial term,housing_median_age,Allows the marginal relationship of housing_median_age to change with its level.,MODEL-SPECIFICATION CANDIDATE,False,True,False,False,False,statistical_features.py,MEDIUM,"EVALUATE, DO NOT IMPOSE",PLANNED
